R;G;B
165;161;154
174;164;148
175;164;149
172;165;149
171;161;147
160;150;140
149;140;125
171;162;148
167;158;141
169;159;143
170;161;143
170;160;143
169;160;145
166;156;138
150;139;124
158;150;140
159;151;141
159;152;148
160;154;148
151;145;139
166;160;153
166;160;149
165;161;150
166;163;152
157;149;140
125;103;089
127;127;124
106;104;096
152;143;131
154;145;129
155;145;135
136;131;124
153;145;140
160;153;146
133;131;118
138;135;128
134;133;123
146;146;133
149;137;120
127;114;094
112;099;085
150;139;123
122;105;089
158;148;141
158;153;147
129;127;122
162;157;153
159;157;153
166;163;150
164;156;145
168;159;147
168;156;144
147;130;114
131;117;097
138;114;097
121;094;062
134;108;081
110;086;068
118;112;104
154;141;126
158;145;130
158;144;135
145;133;117
149;137;117
164;163;148
150;095;086
162;146;131
119;102;091
076;077;072
066;082;105
081;075;068
162;155;137
178;162;147
171;158;143
178;166;150
146;137;121
172;160;147
169;156;142
168;154;137
168;154;139
155;142;130
169;155;129
173;159;138
154;138;118
185;169;145
174;161;142
178;163;142
182;169;150
185;172;153
178;162;144
180;169;148
180;170;149
178;167;145
177;166;144
154;155;140
156;140;127
167;158;142
172;164;147
171;165;144
168;159;138
165;157;142
165;156;139
164;156;136
134;125;108
145;128;112
179;164;140
162;146;127
161;147;131
163;151;138
173;161;147
172;164;147
171;159;143
171;158;145
155;149;135
171;159;142
172;159;143
170;153;137
172;155;139
123;111;094
112;094;069
136;121;106
100;089;087
119;101;088
142;118;101
172;148;135
163;149;124
147;137;122
151;141;126
145;146;138
099;107;117
153;144;123
078;077;074
119;122;115
155;144;126
155;138;097
146;126;093
155;140;109
164;155;139
164;158;142
159;153;144
166;161;143
159;156;150
162;152;141
169;160;150
149;140;130
168;154;139
168;158;139
155;134;111
149;125;083
128;113;099
143;136;132
124;104;087
141;123;104
135;124;109
141;132;116
133;126;110
155;139;118
156;146;133
165;150;126
148;131;109
153;141;121
129;104;076
120;108;093
102;085;065
118;101;081
106;105;086
135;121;098
123;110;097
141;130;114
141;135;124
184;173;157
158;145;129
148;136;119
167;163;150
