Width;204
Height;357
POS;X;Y
1;0;0
2;0;5
3;0;14
4;0;22
5;0;30
6;0;38
7;0;45
8;0;53
9;0;62
10;0;69
11;0;74
12;0;81
13;0;89
14;0;97
15;0;105
16;0;113
17;0;121
18;0;128
19;0;136
20;0;143
21;0;151
22;0;159
23;0;168
24;0;173
25;0;182
26;0;190
27;0;198
28;0;202
29;0;213
30;0;221
31;0;226
32;0;237
33;0;241
34;0;250
35;0;259
36;0;268
37;0;275
38;0;283
39;0;290
40;0;297
41;0;306
42;0;310
43;0;318
44;0;326
45;0;332
46;0;342
47;0;350
48;7;356
49;7;355
50;7;345
51;7;337
52;7;329
53;7;321
54;7;316
55;7;308
56;7;297
57;7;288
58;7;281
59;7;275
60;7;267
61;7;259
62;7;251
63;7;244
64;7;236
65;7;230
66;7;224
67;7;214
68;7;205
69;7;197
70;7;190
71;7;187
72;7;175
73;7;168
74;7;161
75;7;155
76;7;146
77;7;138
78;7;129
79;7;121
80;7;115
81;7;109
82;7;99
83;7;92
84;7;84
85;7;75
86;7;68
87;7;60
88;7;53
89;7;45
90;7;38
91;7;30
92;7;21
93;7;13
94;7;6
95;14;0
96;14;4
97;14;11
98;14;19
99;14;26
100;14;34
101;14;42
102;14;51
103;14;57
104;14;66
105;14;74
106;14;81
107;14;89
108;14;98
109;14;101
110;14;112
111;14;116
112;14;127
113;14;135
114;14;144
115;14;152
116;14;159
117;14;167
118;14;170
119;14;182
120;14;186
121;14;197
122;14;206
123;14;209
124;14;218
125;14;226
126;14;232
127;14;241
128;14;249
129;14;260
130;14;265
131;14;272
132;14;280
133;14;285
134;14;295
135;14;303
136;14;311
137;14;318
138;14;326
139;14;335
140;14;343
141;14;349
142;22;356
143;22;350
144;22;343
145;22;336
146;22;327
147;22;319
148;22;312
149;22;304
150;22;295
151;22;287
152;22;281
153;22;274
154;22;264
155;22;257
156;22;249
157;22;244
158;22;235
159;22;226
160;22;222
161;22;214
162;22;206
163;22;197
164;22;189
165;22;183
166;22;172
167;22;166
168;22;157
169;22;150
170;22;143
171;22;136
172;22;129
173;22;120
174;22;113
175;22;103
176;22;96
177;22;89
178;22;81
179;22;73
180;22;64
181;22;61
182;22;52
183;22;43
184;22;37
185;22;31
186;22;19
187;22;13
188;22;6
189;29;0
190;29;1
191;29;7
192;29;15
193;29;22
194;29;30
195;29;37
196;29;44
197;29;53
198;29;58
199;29;66
200;29;74
201;29;82
202;29;89
203;29;96
204;29;104
205;29;113
206;29;120
207;29;128
208;29;138
209;29;146
210;29;152
211;29;161
212;29;168
213;29;174
214;29;183
215;29;191
216;29;200
217;29;205
218;29;212
219;29;221
220;29;230
221;29;236
222;29;244
223;29;253
224;29;260
225;29;268
226;29;274
227;29;282
228;29;290
229;29;296
230;29;304
231;29;311
232;29;320
233;29;326
234;29;334
235;29;340
236;29;349
237;37;356
238;37;355
239;37;350
240;37;341
241;37;335
242;37;328
243;37;319
244;37;310
245;37;304
246;37;297
247;37;288
248;37;281
249;37;273
250;37;266
251;37;258
252;37;251
253;37;244
254;37;235
255;37;227
256;37;221
257;37;212
258;37;204
259;37;197
260;37;187
261;37;181
262;37;176
263;37;168
264;37;160
265;37;153
266;37;143
267;37;138
268;37;128
269;37;122
270;37;115
271;37;106
272;37;98
273;37;90
274;37;83
275;37;75
276;37;67
277;37;57
278;37;52
279;37;44
280;37;36
281;37;30
282;37;21
283;37;12
284;45;0
285;45;5
286;45;13
287;45;21
288;45;29
289;45;36
290;45;46
291;45;53
292;45;58
293;45;67
294;45;74
295;45;83
296;45;89
297;45;96
298;45;104
299;45;111
300;45;121
301;45;127
302;45;135
303;45;142
304;45;150
305;45;159
306;45;168
307;45;174
308;45;181
309;45;191
310;45;199
311;45;204
312;45;214
313;45;220
314;45;228
315;45;235
316;45;243
317;45;251
318;45;259
319;45;268
320;45;274
321;45;278
322;45;290
323;45;298
324;45;306
325;45;315
326;45;321
327;45;327
328;45;336
329;45;340
330;45;350
331;52;356
332;52;355
333;52;348
334;52;344
335;52;336
336;52;328
337;52;320
338;52;312
339;52;306
340;52;298
341;52;289
342;52;280
343;52;272
344;52;265
345;52;259
346;52;249
347;52;243
348;52;235
349;52;226
350;52;219
351;52;211
352;52;205
353;52;199
354;52;190
355;52;182
356;52;173
357;52;165
358;52;158
359;52;154
360;52;144
361;52;137
362;52;128
363;52;119
364;52;112
365;52;104
366;52;98
367;52;89
368;52;83
369;52;74
370;52;65
371;52;60
372;52;53
373;52;45
374;52;38
375;52;29
376;52;22
377;52;14
378;52;6
379;60;0
380;60;5
381;60;12
382;60;22
383;60;30
384;60;38
385;60;44
386;60;53
387;60;60
388;60;67
389;60;76
390;60;82
391;60;90
392;60;96
393;60;107
394;60;113
395;60;121
396;60;130
397;60;137
398;60;144
399;60;153
400;60;155
401;60;166
402;60;175
403;60;182
404;60;187
405;60;198
406;60;205
407;60;212
408;60;222
409;60;229
410;60;236
411;60;245
412;60;252
413;60;259
414;60;266
415;60;276
416;60;281
417;60;291
418;60;297
419;60;304
420;60;314
421;60;319
422;60;326
423;60;334
424;60;345
425;60;350
426;67;356
427;67;351
428;67;343
429;67;336
430;67;327
431;67;319
432;67;314
433;67;307
434;67;298
435;67;288
436;67;281
437;67;274
438;67;265
439;67;257
440;67;250
441;67;245
442;67;237
443;67;226
444;67;222
445;67;214
446;67;207
447;67;198
448;67;189
449;67;183
450;67;174
451;67;166
452;67;160
453;67;149
454;67;144
455;67;134
456;67;127
457;67;123
458;67;113
459;67;105
460;67;98
461;67;90
462;67;84
463;67;73
464;67;67
465;67;59
466;67;52
467;67;45
468;67;36
469;67;28
470;67;21
471;67;13
472;75;0
473;75;7
474;75;11
475;75;20
476;75;28
477;75;35
478;75;43
479;75;51
480;75;59
481;75;67
482;75;75
483;75;84
484;75;92
485;75;97
486;75;106
487;75;115
488;75;121
489;75;130
490;75;138
491;75;143
492;75;153
493;75;159
494;75;167
495;75;175
496;75;183
497;75;191
498;75;198
499;75;207
500;75;214
501;75;221
502;75;228
503;75;236
504;75;242
505;75;252
506;75;259
507;75;264
508;75;275
509;75;283
510;75;290
511;75;295
512;75;306
513;75;310
514;75;321
515;75;326
516;75;334
517;75;342
518;82;356
519;82;350
520;82;342
521;82;335
522;82;326
523;82;319
524;82;311
525;82;303
526;82;294
527;82;287
528;82;281
529;82;272
530;82;264
531;82;258
532;82;249
533;82;241
534;82;237
535;82;227
536;82;221
537;82;213
538;82;206
539;82;198
540;82;187
541;82;180
542;82;174
543;82;167
544;82;159
545;82;152
546;82;144
547;82;136
548;82;129
549;82;118
550;82;113
551;82;106
552;82;97
553;82;89
554;82;82
555;82;73
556;82;66
557;82;59
558;82;51
559;82;45
560;82;35
561;82;27
562;82;19
563;82;13
564;90;0
565;90;5
566;90;15
567;90;22
568;90;30
569;90;38
570;90;43
571;90;53
572;90;60
573;90;66
574;90;76
575;90;82
576;90;91
577;90;99
578;90;106
579;90;116
580;90;123
581;90;127
582;90;138
583;90;144
584;90;152
585;90;158
586;90;166
587;90;173
588;90;181
589;90;189
590;90;197
591;90;207
592;90;213
593;90;218
594;90;228
595;90;238
596;90;244
597;90;252
598;90;260
599;90;267
600;90;276
601;90;283
602;90;291
603;90;295
604;90;307
605;90;311
606;90;320
607;90;330
608;90;335
609;90;340
610;90;350
611;98;356
612;98;350
613;98;343
614;98;335
615;98;327
616;98;319
617;98;312
618;98;304
619;98;297
620;98;289
621;98;281
622;98;272
623;98;265
624;98;257
625;98;250
626;98;241
627;98;238
628;98;229
629;98;221
630;98;214
631;98;203
632;98;198
633;98;191
634;98;180
635;98;172
636;98;168
637;98;157
638;98;150
639;98;144
640;98;137
641;98;127
642;98;122
643;98;113
644;98;106
645;98;96
646;98;90
647;98;83
648;98;75
649;98;67
650;98;58
651;98;50
652;98;43
653;98;36
654;98;28
655;98;22
656;98;13
657;105;0
658;105;1
659;105;4
660;105;13
661;105;20
662;105;27
663;105;36
664;105;46
665;105;51
666;105;61
667;105;65
668;105;76
669;105;82
670;105;89
671;105;97
672;105;105
673;105;112
674;105;120
675;105;128
