R;G;B
056;081;088
063;092;096
088;124;136
141;193;205
188;199;191
190;189;168
175;177;158
060;094;090
081;103;095
076;090;093
057;081;084
049;082;099
076;119;138
111;142;158
164;186;193
206;204;189
153;114;078
249;216;198
110;146;160
124;138;140
068;111;118
096;123;132
060;103;120
097;134;160
146;176;192
228;171;122
235;221;195
187;183;171
139;139;128
183;135;095
203;205;207
105;131;131
086;115;119
162;146;122
194;164;088
174;176;171
189;156;083
221;218;207
225;223;211
226;218;197
237;234;226
106;105;098
174;192;199
077;119;131
142;132;105
173;168;149
090;094;094
186;195;198
225;222;215
217;214;207
217;218;205
196;205;207
135;137;131
113;137;149
133;161;172
179;124;109
202;166;157
168;188;197
172;186;194
207;210;215
204;206;208
163;127;065
209;210;215
215;217;210
200;209;204
200;165;125
113;074;057
136;109;078
135;136;119
131;132;106
214;135;079
247;194;124
194;123;105
135;117;078
196;199;192
198;199;204
153;126;096
083;074;068
071;061;052
059;056;048
079;069;060
147;109;076
048;045;040
075;062;053
070;065;059
246;202;163
134;088;073
225;197;186
090;120;127
114;076;058
253;212;180
094;076;061
093;082;076
116;087;073
071;056;043
056;045;039
162;107;076
117;090;067
175;154;109
072;063;054
177;118;098
127;115;101
078;070;067
183;142;120
118;087;059
118;068;056
069;059;050
075;052;044
240;223;216
237;217;208
057;067;076
088;091;099
224;168;178
146;066;083
162;104;059
222;103;073
074;064;052
086;058;045
254;202;171
161;176;136
094;057;048
043;045;050
095;064;054
124;097;080
120;053;066
056;055;052
057;052;058
240;223;206
044;056;073
236;214;186
152;152;112
238;166;170
249;114;094
222;143;058
163;191;218
246;215;150
136;081;054
056;059;078
236;227;212
041;056;072
209;161;113
070;071;066
107;066;048
053;043;033
191;203;205
250;201;122
155;104;081
101;067;034
096;063;044
223;204;200
055;071;083
161;124;084
217;138;028
110;074;060
069;048;031
125;079;050
205;146;094
056;045;039
193;124;079
203;211;214
061;071;086
220;224;218
046;041;030
048;044;035
047;043;034
