Width;3020
Height;4456
POS;X;Y
1;81;96
2;310;96
3;615;96
4;916;96
5;1217;96
6;1517;96
7;1827;96
8;2133;96
9;2443;96
10;2753;96
11;2982;96
12;81;397
13;310;397
14;615;397
15;916;397
16;1217;397
17;1517;397
18;1827;397
19;2133;397
20;2443;397
21;2753;397
22;2982;397
23;81;717
24;310;717
25;615;717
26;916;717
27;1217;717
28;1517;717
29;1827;717
30;2133;717
31;2443;717
32;2753;717
33;2982;717
34;81;1014
35;310;1014
36;615;1014
37;916;1014
38;1217;1014
39;1517;1014
40;1827;1014
41;2133;1014
42;2443;1014
43;2753;1014
44;2982;1014
45;81;1315
46;310;1315
47;615;1315
48;916;1315
49;1217;1315
50;1517;1315
51;1827;1315
52;2133;1315
53;2443;1315
54;2753;1315
55;2982;1315
56;81;1630
57;310;1630
58;615;1630
59;916;1630
60;1217;1630
61;1517;1630
62;1827;1630
63;2133;1630
64;2443;1630
65;2753;1630
66;2982;1630
67;81;1941
68;310;1941
69;615;1941
70;916;1941
71;1217;1941
72;1517;1941
73;1827;1941
74;2133;1941
75;2443;1941
76;2753;1941
77;2982;1941
78;81;2247
79;310;2247
80;615;2247
81;916;2247
82;1217;2247
83;1517;2247
84;1827;2247
85;2133;2247
86;2443;2247
87;2753;2247
88;2982;2247
89;81;2405
90;310;2405
91;615;2405
92;916;2405
93;1217;2405
94;1517;2405
95;1827;2405
96;2133;2405
97;2443;2405
98;2753;2405
99;2982;2405
100;81;2558
101;310;2558
102;615;2558
103;916;2558
104;1217;2558
105;1517;2558
106;1827;2558
107;2133;2558
108;2443;2558
109;2753;2558
110;2982;2558
111;81;2883
112;310;2883
113;615;2883
114;916;2883
115;1217;2883
116;1517;2883
117;1827;2883
118;2133;2883
119;2443;2883
120;2753;2883
121;2982;2883
122;81;3179
123;310;3179
124;615;3179
125;916;3179
126;1217;3179
127;1517;3179
128;1827;3179
129;2133;3179
130;2443;3179
131;2753;3179
132;2982;3179
133;81;3471
134;310;3471
135;615;3471
136;916;3471
137;1217;3471
138;1517;3471
139;1827;3471
140;2133;3471
141;2443;3471
142;2753;3471
143;2982;3471
144;81;3791
145;310;3791
146;615;3791
147;916;3791
148;1217;3791
149;1517;3791
150;1827;3791
151;2133;3791
152;2443;3791
153;2753;3791
154;2982;3791
155;81;4088
156;310;4088
157;615;4088
158;916;4088
159;1217;4088
160;1517;4088
161;1827;4088
162;2133;4088
163;2443;4088
164;2753;4088
165;2982;4088
